orgope,mpio_inegi,estado
Sistema Intermunicipal de Los Servicios de Agua Potable y Alcantarillado (SIAPA),Guadalajara,Jalisco
Sistema de Agua Potable y Alcantarillado Lagos de Moreno (SAPALAGOS),Lagos de Moreno,Jalisco
Sistema de Los Servicios de Agua Potable Drenaje y Alcantarillado de Puerto Vallarta (SEAPAL),Puerto Vallarta,Jalisco
Sistema de Agua Potable Alcantarillado y Saneamiento del Municipio de San Miguel El Alto (SAPASMA),San Miguel el Alto,Jalisco
Dirección de Agua Potable Drenaje y Alcantarillado (DAPA),Tlaquepaque,Jalisco
Sistema de Agua Potable Alcantarillado y Saneamiento del Municipio de Unión de Tula (OSIAPA),Unión de Tula,Jalisco
Sistema de Agua Potable Alcantarillado y Saneamiento del Municipio De Zapotlán El Grande (SAPAZA),Zapotlán el Grande,Jalisco
Servicios de Agua Potable Alcantarillado y Saneamiento de Atizapán de Zaragoza (SAPASA),Atizapán de Zaragoza,México
Organismo Descentralizado de Agua Potable Alcantarillado y Saneamiento Atlacomulco (ODAPASA),Atlacomulco,México
Organismo Descentralizado de Agua Potable Alcantarillado y Saneamiento de Chalco (ODAPAS),Chalco,México
Sistema de Agua Potable Alcantarillado y Saneamiento de Coacalco (SAPASAC),Coacalco de Berriozábal,México
Organismo Operador de Agua de Cuautitlán Izcalli (OPERAGUA),Cuautitlán Izcalli,México
Organismo Público Descentralizado Para La Prestación de Los Servicios de Agua Potable Alcantarillado y Saneamiento de Ecatepec (SAPASE),Ecatepec de Morelos,México
Organismo Público Descentralizado de Sistema de Agua de Huixquilucan (SAH),Huixquilucan,México
Organismo Descentralizado de Agua Potable Alcantarillado y Saneamiento de Ixtapaluca (ODAPAS),Ixtapaluca,México
Organismo Público Descentralizado de Agua Potable Alcantarillado y Saneamiento La Paz (OPDAPAS),La Paz,México
Organismo Público Descentralizado Para La Prestación de Los Servicios de Agua Potable Alcantarillado y Saneamiento de Lerma (OPDAPAS),Lerma,México
Organismo Público Descentralizado Para La Prestación de Servicios de Agua Potable Alcantarillado y Saneamiento de Metepec (OPDAPAS),Metepec,México
Organismo de Agua Potable Alcantarillado y Saneamiento de Naucalpan (OAPAS),Naucalpan de Juárez,México
Organismo Descentralizado de Agua Potable Alcantarillado y Saneamiento de Nezahualcóyotl (ODAPAS),Nezahualcóyotl,México
Sistema de Agua Potable Alcantarillado y Saneamiento de Nicolás Romero (SAPASNIR),Nicolás Romero,México
Organismo Público Descentralizado Para La Prestación de Servicios de Agua Potable Alcantarillado y Saneamiento de Tecámac (ODAPAS),Tecámac,México
Organismo Público Descentralizado Para Prestación de Los Servicios de Agua Potable Alcantarillado y Saneamiento de Tlalnepantla (OPDM),Tlalnepantla de Baz,México
Organismo de Agua y Saneamiento de Toluca (AYST),Toluca,México
